konfio-pay-credit-features-topic-prod,arn:aws:sns:us-west-2:180477243137:konfio-pay-credit-features-topic-prod
kp-disbursements-topic-dev,arn:aws:sns:us-west-2:180477243137:kp-disbursements-topic-dev
kp-disbursements-topic-prod,arn:aws:sns:us-west-2:180477243137:kp-disbursements-topic-prod
kpay_communications_dev,arn:aws:sns:us-west-2:180477243137:kpay_communications_dev
kpay_communications_prod,arn:aws:sns:us-west-2:180477243137:kpay_communications_prod
kts-gpo-modelo-sftp-applications-dev,arn:aws:sns:us-west-2:180477243137:kts-gpo-modelo-sftp-applications-dev
kts-gpo-modelo-sftp-applications-prod,arn:aws:sns:us-west-2:180477243137:kts-gpo-modelo-sftp-applications-prod
kts-sivale-sftp-application-detail-dev,arn:aws:sns:us-west-2:180477243137:kts-sivale-sftp-application-detail-dev
kts-sivale-sftp-application-detail-prod,arn:aws:sns:us-west-2:180477243137:kts-sivale-sftp-application-detail-prod
kyc-event-bus-dev,arn:aws:sns:us-west-2:180477243137:kyc-event-bus-dev
kyc-event-bus-prod,arn:aws:sns:us-west-2:180477243137:kyc-event-bus-prod
kyc.fifo,arn:aws:sns:us-west-2:180477243137:kyc.fifo
loan,arn:aws:sns:us-west-2:180477243137:loan
loan-disbursed-dev,arn:aws:sns:us-west-2:180477243137:loan-disbursed-dev
loan-disbursed-prod,arn:aws:sns:us-west-2:180477243137:loan-disbursed-prod
matillion-executor-topic-dev,arn:aws:sns:us-west-2:180477243137:matillion-executor-topic-dev
matillion-executor-topic-prod,arn:aws:sns:us-west-2:180477243137:matillion-executor-topic-prod
matillion-s3-to-gdrive-topic-dev,arn:aws:sns:us-west-2:180477243137:matillion-s3-to-gdrive-topic-dev
matillion-s3-to-gdrive-topic-prod,arn:aws:sns:us-west-2:180477243137:matillion-s3-to-gdrive-topic-prod
matillion_notifications,arn:aws:sns:us-west-2:180477243137:matillion_notifications
mci-job-topic-dev,arn:aws:sns:us-west-2:180477243137:mci-job-topic-dev
mci-program-cron-topic-prod,arn:aws:sns:us-west-2:180477243137:mci-program-cron-topic-prod
mer-clients-score-topic-dev,arn:aws:sns:us-west-2:180477243137:mer-clients-score-topic-dev
mer-clients-score-topic-prod,arn:aws:sns:us-west-2:180477243137:mer-clients-score-topic-prod
mgm-job-topic-dev,arn:aws:sns:us-west-2:180477243137:mgm-job-topic-dev
mgm-job-topic-prod,arn:aws:sns:us-west-2:180477243137:mgm-job-topic-prod
monitorea_sns_dev,arn:aws:sns:us-west-2:180477243137:monitorea_sns_dev
monitorea_sns_production,arn:aws:sns:us-west-2:180477243137:monitorea_sns_production
monopoly-index-topic-dev,arn:aws:sns:us-west-2:180477243137:monopoly-index-topic-dev
monopoly-index-topic-prod,arn:aws:sns:us-west-2:180477243137:monopoly-index-topic-prod
offer-notifications-topic-dev,arn:aws:sns:us-west-2:180477243137:offer-notifications-topic-dev
offer-notifications-topic-prod,arn:aws:sns:us-west-2:180477243137:offer-notifications-topic-prod
orchestrator-process-completed-topic-dev,arn:aws:sns:us-west-2:180477243137:orchestrator-process-completed-topic-dev
orchestrator-process-completed-topic-prod,arn:aws:sns:us-west-2:180477243137:orchestrator-process-completed-topic-prod
payment-record-dev,arn:aws:sns:us-west-2:180477243137:payment-record-dev
payment-record-prod,arn:aws:sns:us-west-2:180477243137:payment-record-prod
payments,arn:aws:sns:us-west-2:180477243137:payments
paypal,arn:aws:sns:us-west-2:180477243137:paypal
platform-config-topic,arn:aws:sns:us-west-2:180477243137:platform-config-topic
platform_auth,arn:aws:sns:us-west-2:180477243137:platform_auth
policy_engine_response,arn:aws:sns:us-west-2:180477243137:policy_engine_response
product-offering-pfae-productless-topic-prod,arn:aws:sns:us-west-2:180477243137:product-offering-pfae-productless-topic-prod
product-offering-pm-productless-topic-dev,arn:aws:sns:us-west-2:180477243137:product-offering-pm-productless-topic-dev
product-offering-pm-productless-topic-prod,arn:aws:sns:us-west-2:180477243137:product-offering-pm-productless-topic-prod
product-offering-pm-v2-topic-dev,arn:aws:sns:us-west-2:180477243137:product-offering-pm-v2-topic-dev
product-offering-pm-v2-topic-prod,arn:aws:sns:us-west-2:180477243137:product-offering-pm-v2-topic-prod
product-payments.fifo,arn:aws:sns:us-west-2:180477243137:product-payments.fifo
recurrent_validation_DEV,arn:aws:sns:us-west-2:180477243137:recurrent_validation_DEV
remarketing-executor-dev,arn:aws:sns:us-west-2:180477243137:remarketing-executor-dev
remarketing-executor-prod,arn:aws:sns:us-west-2:180477243137:remarketing-executor-prod
remarketing-matillion-trigger,arn:aws:sns:us-west-2:180477243137:remarketing-matillion-trigger
remarketing-matillion-trigger-dev,arn:aws:sns:us-west-2:180477243137:remarketing-matillion-trigger-dev
remarketing-matillion-trigger-prod,arn:aws:sns:us-west-2:180477243137:remarketing-matillion-trigger-prod
roles-permissions-updater-dev,arn:aws:sns:us-west-2:180477243137:roles-permissions-updater-dev
rppc-updater-topic-dev,arn:aws:sns:us-west-2:180477243137:rppc-updater-topic-dev
rppc-updater-topic-prod,arn:aws:sns:us-west-2:180477243137:rppc-updater-topic-prod
sat-credentials-validated-dev,arn:aws:sns:us-west-2:180477243137:sat-credentials-validated-dev
send-invoices-report-topic-dev,arn:aws:sns:us-west-2:180477243137:send-invoices-report-topic-dev
send-invoices-report-topic-prod,arn:aws:sns:us-west-2:180477243137:send-invoices-report-topic-prod
ses-delivery-status,arn:aws:sns:us-west-2:180477243137:ses-delivery-status
slack-message-topic-,arn:aws:sns:us-west-2:180477243137:slack-message-topic-
slack-message-topic-ENVIRONMENT,arn:aws:sns:us-west-2:180477243137:slack-message-topic-ENVIRONMENT
slack-message-topic-dev,arn:aws:sns:us-west-2:180477243137:slack-message-topic-dev
